time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773564486.1656682,0.06,-0.88,0.4,-11.57,32.17,-7.16,0.97
1773564486.181589,0.07,-0.84,0.35,-29.02,0.84,5.74,0.91
1773564486.2951832,0.14,-1.01,0.07,-40.69,27.82,23.57,1.02
1773564486.393576,-0.13,-0.83,0.27,0.11,47.82,-0.78,0.88
1773564486.4935682,-0.18,-0.77,0.34,-0.87,-41.42,-2.61,0.86
1773564486.6056094,0.05,-0.9,0.33,14.29,-1.99,-10.69,0.96
1773564486.7010815,-0.03,-0.89,0.31,0.99,-4.46,-5.71,0.94
1773564486.810187,-0.0,-0.93,0.3,-12.09,-17.68,-0.83,0.97
1773564486.9082563,-0.02,-0.94,0.29,-17.18,-7.01,-0.54,0.99
1773564487.019823,-0.03,-0.94,0.27,-25.97,-7.3,3.53,0.98
1773564487.12347,-0.0,-0.91,0.24,-28.82,9.33,5.21,0.94
1773564487.2336292,-0.07,-0.93,0.19,-31.92,23.65,3.22,0.95
1773564487.3294325,-0.1,-0.89,0.17,-47.89,23.62,-9.07,0.91
1773564487.4296715,-0.03,-0.97,0.11,-42.75,20.12,-9.41,0.97
1773564487.530254,0.18,-0.82,-0.04,-38.34,11.27,-35.12,0.84
1773564487.6403685,-0.06,-0.72,0.36,-98.53,42.47,-22.18,0.8
1773564487.7310758,0.24,-0.94,0.25,-132.55,17.14,4.03,1.0
1773564487.8435264,0.45,0.58,-2.0,109.48,-107.73,-132.57,2.13
1773564487.9454186,1.05,-0.32,-0.19,-16.29,-510.57,-59.7,1.12
1773564488.049284,0.32,-0.52,-0.36,-69.95,-127.68,89.31,0.71
1773564488.161184,0.21,-0.24,-0.36,57.27,-222.35,9.08,0.48
1773564488.260518,-0.21,-0.68,-0.72,15.24,76.63,53.43,1.01
1773564488.360139,-0.35,-0.73,-0.27,-5.89,-142.15,32.47,0.85
1773564488.4492617,-0.07,-0.87,-0.21,63.68,-164.28,-54.15,0.9
1773564488.565633,0.07,-0.67,0.19,142.34,-62.89,-185.68,0.7
1773564488.6668346,0.79,-1.87,-0.58,11.82,76.63,-81.68,2.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564510.647925,0.42,-0.76,0.41,-8.12,7.08,-24.43,0.96
1773564510.724124,0.45,-0.77,0.35,-18.99,-4.35,-9.07,0.96
1773564510.82641,0.39,-0.78,0.36,-17.62,-8.53,-6.03,0.94
1773564510.9236553,0.43,-0.79,0.37,-6.98,-14.78,-12.5,0.97
1773564511.024129,0.48,-0.74,0.35,-4.79,-6.29,-5.57,0.95
1773564511.1310198,0.5,-0.82,0.36,-7.19,1.4,-9.25,1.02
1773564511.24295,0.49,-0.78,0.35,-3.25,7.97,-1.97,0.98
1773564511.347043,0.46,-0.76,0.36,-7.53,16.59,2.85,0.96
1773564511.4415045,0.42,-0.85,0.5,49.14,40.09,-38.25,1.07
1773564511.5517962,0.41,-0.68,0.56,13.5,70.09,-23.88,0.97
1773564511.6582289,0.34,-0.57,0.52,3.98,17.88,-0.75,0.84
1773564511.7561083,0.24,-0.61,0.54,-4.15,-7.5,0.81,0.85
1773564511.860879,0.27,-0.65,0.6,-16.67,-6.26,-6.05,0.92
1773564511.9591804,0.32,-0.64,0.6,-27.51,-13.42,-16.47,0.93
1773564512.0667458,0.35,-0.7,0.57,-19.89,-9.97,-25.62,0.97
1773564512.1574016,0.39,-0.73,0.55,-25.59,2.11,-16.14,0.99
1773564512.2804608,0.35,-0.78,0.5,-21.97,12.06,-0.46,0.99
1773564512.3902154,0.33,-0.72,0.44,-12.7,-4.34,-9.22,0.91
1773564512.473627,0.3,-0.7,0.41,-22.49,-14.87,3.8,0.86
1773564512.5886896,0.37,-0.79,0.45,-15.82,-27.59,5.91,0.98
1773564512.6906977,0.36,-0.76,0.44,-16.78,-16.67,13.75,0.95
1773564512.7895126,0.36,-0.78,0.42,-12.34,-22.92,16.58,0.96
1773564512.890267,0.3,-0.79,0.39,-4.63,-23.65,11.1,0.93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564522.63139,0.4,-0.76,0.36,7.05,-61.59,11.1,0.93
1773564522.6933904,0.39,-0.8,0.29,7.4,-85.15,10.24,0.94
1773564522.7925673,0.41,-0.71,0.19,2.87,-109.22,13.92,0.84
1773564522.890112,0.51,-0.62,0.1,20.37,-124.86,30.95,0.81
1773564523.0049052,0.56,-0.64,0.14,44.43,-134.32,63.77,0.86
1773564523.105293,0.54,-0.6,0.2,52.31,-137.08,69.69,0.84
1773564523.209339,0.38,-0.61,0.22,32.29,-138.67,55.02,0.75
1773564523.3135822,0.36,-0.48,0.25,41.97,-131.13,33.82,0.65
1773564523.4072187,0.45,-0.43,0.36,56.99,-117.05,45.37,0.72
1773564523.5119953,0.99,-1.07,0.55,55.79,-154.5,-41.36,1.56
1773564523.6216369,-0.48,-1.44,0.91,-37.82,-116.37,-69.94,1.77
1773564523.725386,0.56,-1.59,0.49,-34.18,-123.54,299.02,1.75
1773564523.8243153,0.24,-0.08,-0.73,13.45,43.36,250.03,0.77
1773564523.938506,-1.71,0.1,-0.51,-64.23,-81.74,99.59,1.79
1773564524.0234077,-0.54,-0.37,-0.18,-12.08,-50.08,70.26,0.68
1773564524.13742,-0.91,-0.3,0.49,-67.37,-94.98,-15.13,1.08
1773564524.236309,-0.95,-0.55,0.29,23.44,-86.31,11.66,1.13
1773564524.3443632,-0.77,-0.01,0.21,39.14,31.07,-23.73,0.8
1773564524.4515886,-0.95,-0.14,0.52,-29.98,-32.15,-93.7,1.09
1773564524.555442,-0.77,-0.58,0.33,79.69,-40.29,-85.33,1.02
1773564524.6567364,-0.7,-0.41,0.77,66.95,-22.6,-193.73,1.12
1773564524.7489605,-0.31,-0.91,0.91,-22.03,88.72,-89.41,1.33
1773564524.8650725,-0.2,-0.69,0.36,-69.95,52.72,-89.12,0.81
1773564524.9705217,-0.14,-0.83,-0.04,-43.86,-1.95,-99.25,0.85
1773564525.063655,0.08,-0.96,-0.01,-9.66,-1.94,-105.18,0.96
1773564525.163267,0.27,-0.73,0.06,8.63,-36.99,-103.13,0.78
1773564525.278002,0.39,-0.73,-0.01,15.59,-67.76,-39.66,0.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564628.5745697,0.08,-0.87,0.46,-4.61,-17.71,22.3,0.99
1773564628.6632504,-0.04,-0.93,0.29,-28.98,-48.96,10.27,0.97
1773564628.7801328,-0.1,-0.89,0.25,-43.1,-82.69,-1.82,0.93
1773564628.8811555,0.06,-0.94,-0.0,-70.79,-130.7,4.5,0.94
1773564628.986483,0.24,-0.97,-0.13,-25.86,-185.19,-18.98,1.01
1773564629.088688,0.58,-0.69,0.17,-28.82,-193.18,-45.39,0.92
1773564629.2011025,0.48,-0.89,0.33,-8.69,-190.08,-40.73,1.06
1773564629.2974167,0.38,-0.51,0.08,28.31,-131.97,81.95,0.64
1773564629.4011958,-0.46,0.03,0.38,123.34,-79.3,-29.19,0.6
1773564629.5014763,-0.6,-2.0,1.51,-97.5,-323.27,-4.41,2.58
1773564629.6014855,-1.4,-1.41,-2.0,-340.15,285.28,152.66,2.82
1773564629.711886,0.45,0.16,-1.08,94.98,-229.97,-14.41,1.19
1773564629.8017983,0.55,-0.98,-0.04,-16.55,-215.36,-19.15,1.12
1773564629.9163067,-0.39,-0.75,-0.39,-22.69,-126.06,82.41,0.93
1773564630.013143,-0.83,-0.34,-0.73,-60.61,-22.55,87.11,1.15
1773564630.111317,-1.14,-0.27,-0.82,18.18,-53.15,-19.88,1.43
1773564630.2159245,-0.56,-0.62,-0.64,116.73,-53.18,-8.6,1.05
1773564630.3200786,-0.51,-0.77,-0.29,30.14,-16.72,4.87,0.97
1773564630.4233923,-0.81,-0.67,-0.26,11.22,-4.67,-28.4,1.08
1773564630.5263586,-0.61,-0.6,-0.16,26.92,-31.44,-77.15,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564646.7618706,0.02,-0.95,0.25,6.53,-32.78,-11.85,0.98
1773564646.8631754,0.05,-0.93,0.22,4.09,-27.28,-5.48,0.96
1773564646.975115,-0.04,-0.96,0.17,5.65,-38.76,-14.11,0.98
1773564647.086397,0.03,-0.99,0.15,-2.55,-55.73,-29.57,1.0
1773564647.180108,0.06,-0.96,0.15,-18.72,-73.92,-12.55,0.97
1773564647.2774818,-0.02,-0.91,0.13,-2.12,-88.53,4.67,0.92
1773564647.3841996,0.04,-0.74,0.11,-30.34,-119.79,-21.96,0.75
1773564647.493617,0.27,-0.92,-0.15,-7.22,-137.54,-31.77,0.97
1773564647.5937438,0.4,-0.62,-0.07,10.32,-178.6,-19.88,0.74
1773564647.69369,0.59,-0.29,0.13,81.6,-160.73,-109.15,0.67
1773564647.7966983,0.31,-0.83,0.13,-26.93,-138.52,126.61,0.89
1773564647.9095523,1.54,-0.64,0.95,-26.31,21.51,-160.83,1.92
1773564648.015547,1.08,-1.01,-2.0,130.55,171.42,243.19,2.49
1773564648.1139894,1.35,-0.32,-0.58,35.45,-366.17,278.79,1.5
1773564648.209305,1.27,-0.76,-0.33,-105.62,-293.94,73.62,1.51
1773564648.3153014,0.49,-0.97,-0.96,-219.47,-184.05,207.5,1.45
1773564648.4247503,-0.06,-0.66,-0.8,-116.46,-314.63,431.04,1.04
1773564648.5269225,-0.01,-0.57,-0.42,66.89,-132.66,197.86,0.71
1773564648.6285174,-0.22,-0.66,-0.47,-27.15,17.68,143.13,0.84
1773564648.728897,-0.54,-0.62,-0.56,36.75,15.85,25.68,1.0
1773564648.838235,-0.54,-0.53,-0.64,0.15,32.66,-43.41,0.99
1773564648.930214,-0.47,-0.59,-0.75,-50.96,46.0,-32.76,1.07
1773564649.0435405,-0.31,-0.62,-0.87,-44.4,9.24,-104.75,1.11
1773564649.1443594,-0.29,-0.62,-0.83,-19.51,6.27,-41.01,1.08
1773564649.250183,-0.35,-0.61,-0.87,-61.3,-62.47,-6.23,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564666.8786273,-0.13,-0.14,0.91,83.71,-47.04,44.73,0.93
1773564666.9731164,-0.13,-0.03,0.99,-77.68,-41.21,-8.63,1.0
1773564667.078114,-0.04,-0.07,1.01,3.34,17.39,-0.63,1.02
1773564667.2083323,-0.06,-0.08,0.94,-9.71,-0.72,-0.73,0.94
1773564667.2902987,-0.13,-0.19,0.94,13.08,-17.91,35.31,0.96
1773564667.3896415,-0.12,-0.27,0.81,-7.66,-35.13,62.79,0.86
1773564667.4914975,-0.19,-0.29,0.83,11.16,21.66,66.76,0.9
1773564667.5937114,-0.1,-0.24,0.87,-24.52,23.95,55.33,0.91
1773564667.694515,-0.21,-0.33,0.81,15.04,4.2,99.16,0.9
1773564667.8016105,-0.34,-0.2,0.82,-35.76,-37.22,92.4,0.91
1773564667.8922985,-0.31,-0.21,0.76,-7.95,-59.19,77.17,0.85
1773564667.993668,-0.22,-0.34,0.69,5.53,-41.48,99.17,0.8
1773564668.109585,-0.01,-0.5,0.33,3.54,-133.5,102.87,0.6
1773564668.223833,-0.49,-0.33,0.64,-103.04,-39.82,124.76,0.87
1773564668.315797,-0.02,0.11,1.3,8.43,-33.25,-461.8,1.31
1773564668.4248097,-2.0,0.72,2.0,-104.4,33.25,-75.45,2.92
1773564668.5258584,1.53,-0.62,-0.52,168.63,71.22,-206.08,1.73
1773564668.6258018,-0.96,-0.17,0.78,-107.1,178.59,232.12,1.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773564711.7622964,-0.08,0.92,0.43,1.42,6.63,21.72,1.02
1773564711.8493662,-0.02,0.93,0.28,-8.05,-14.46,-1.05,0.97
1773564711.9449625,-0.01,0.91,0.3,-52.09,-10.26,-22.63,0.96
1773564712.044968,-0.04,0.91,0.26,-62.05,-6.0,-22.28,0.94
1773564712.1394124,-0.06,0.93,0.36,-40.29,48.12,1.57,1.0
1773564712.2551744,-0.22,0.92,0.16,-119.08,111.71,-46.09,0.96
1773564712.3549197,-0.07,0.8,0.08,-116.14,222.9,25.36,0.81
1773564712.4529035,0.06,0.48,0.16,63.94,-12.89,200.2,0.51
1773564712.555197,-0.04,0.02,-0.12,211.63,-72.99,172.17,0.13
1773564712.6576123,-0.93,0.64,0.79,-31.24,46.21,-135.45,1.37
1773564712.7706122,1.38,-2.0,2.0,-501.91,-510.57,302.18,3.15
1773564712.8714817,0.55,1.27,0.8,-139.18,489.97,-502.2,1.6
1773564712.971269,-0.67,0.44,0.62,-348.95,42.08,-77.25,1.02
1773564713.0701234,-0.35,0.14,0.36,96.24,127.88,-146.64,0.52
1773564713.1864438,-0.79,-0.06,1.17,-103.79,-10.14,-73.77,1.41
1773564713.2886674,-0.32,0.22,0.68,121.31,-14.87,-20.08,0.78
1773564713.3863988,-0.59,0.25,0.69,2.2,-68.7,-100.64,0.94
1773564713.4864728,-0.75,0.01,1.57,101.59,-73.36,-115.07,1.74
1773564713.5892448,-0.53,0.42,0.47,44.85,-36.44,-43.48,0.83
1773564713.688122,-0.67,0.39,0.86,-16.56,29.22,41.91,1.15
1773564713.804268,-0.37,0.38,0.61,-19.45,-23.44,-52.12,0.81
