rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,accel_abs_mean,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,source_file,label,label_name
25,2.490000009536743,0.0916,0.3048316475258652,1.05,-0.35,1.4,0.0,-0.782,0.40408332474049624,0.58,-1.87,2.45,-0.87,-0.027599999999999993,0.515608701762619,0.36,-2.0,2.36,0.19,-8.9412,58.34009736879088,142.34,-132.55,274.89,-16.29,-41.6068,123.60800252950185,76.63,-510.57,587.2,-1.99,-15.245200000000002,55.559035877763996,89.31,-185.68,274.99,-0.83,0.9972,0.3611384775955063,2.13,0.48,1.65,0.94,2.13,0.9972,0.3611384775955063,1.65,0.48,0.6666666666666666,510.57,92.16679999999998,2.0,0.9208,0.07,0.79,0.72,-0.84,-1.87,-1.0300000000000002,0.35,-0.58,-0.9299999999999999,-29.02,11.82,40.84,0.84,76.63,75.78999999999999,5.74,-81.68,-87.42,fall_001.csv,1,fall
25,2.429999828338623,-0.10239999999999999,0.6716973524834926,0.99,-1.71,2.7,0.08,-0.6192,0.3983917669832046,0.1,-1.59,1.6900000000000002,-0.61,0.25880000000000003,0.37535893932785636,0.91,-0.73,1.6400000000000001,0.29,6.119199999999999,43.90537437869461,79.69,-69.95,149.64,7.4,-65.186,69.00971060896671,88.72,-154.5,243.22,-85.15,6.3424000000000005,108.06668254986516,299.02,-193.73,492.75,11.1,1.034,0.34481879299133333,1.79,0.65,1.1400000000000001,0.93,1.79,1.034,0.34481879299133333,1.1400000000000001,0.65,0.5416666666666666,299.02,120.1996,1.71,0.8504000000000002,0.4,0.08,-0.32,-0.76,-0.96,-0.19999999999999996,0.36,-0.01,-0.37,7.05,-9.66,-16.71,-61.59,-1.94,59.650000000000006,11.1,-105.18,-116.28,fall_002.csv,1,fall
20,1.9600000381469727,-0.23149999999999998,0.5847921358100356,0.58,-1.4,1.98,-0.245,-0.7454999999999999,0.46811463958038496,0.16,-2.0,2.16,-0.76,-0.15350000000000003,0.7102577367629154,1.51,-2.0,3.51,-0.085,-14.926499999999999,96.04553789876528,123.34,-340.15,463.49,-12.620000000000001,-92.54350000000001,124.6659733796043,285.28,-323.27,608.55,-80.995,6.898000000000001,54.70109665022122,152.66,-77.15,229.81,-6.505,1.1625,0.5562740237272312,2.82,0.6,2.2199999999999998,1.0,2.82,1.1625,0.5562740237272312,2.2199999999999998,0.6,0.5263157894736842,340.15,136.79500000000002,2.0,0.938,0.08,-0.61,-0.69,-0.87,-0.6,0.27,0.46,-0.16,-0.62,-4.61,26.92,31.53,-17.71,-31.44,-13.73,22.3,-77.15,-99.45,fall_003.csv,1,fall
25,2.490000009536743,0.18600000000000003,0.5843657530462693,1.54,-0.54,2.08,0.03,-0.7312000000000001,0.20461997295800166,-0.29,-1.01,0.72,-0.66,-0.3164,0.5974730119427991,0.95,-2.0,2.95,-0.33,-15.2432,67.77818870649564,130.55,-219.47,350.02,-7.22,-83.41879999999999,123.2401914055097,171.42,-366.17,537.59,-62.47,43.47120000000001,137.98527386162144,431.04,-160.83,591.87,-11.85,1.1064,0.40347325396693484,2.49,0.67,1.8200000000000003,0.99,2.49,1.1064,0.40347325396693484,1.8200000000000003,0.67,0.5,431.04,137.88639999999998,2.0,0.9256000000000002,0.02,-0.35,-0.37,-0.95,-0.61,0.33999999999999997,0.25,-0.87,-1.12,6.53,-61.3,-67.83,-32.78,-62.47,-29.689999999999998,-11.85,-6.23,5.619999999999999,fall_004.csv,1,fall
23,2.1599998474121094,-0.3417391304347826,0.506114002374178,0.55,-2.0,2.55,-0.34,0.4930434782608696,0.476954684169249,2.0,-0.14,2.14,0.54,0.7013043478260869,0.43335167691994464,2.0,0.05,1.95,0.58,-21.52347826086957,120.44184913772877,92.46,-501.91,594.37,-2.38,31.69434782608696,163.06843936397007,322.67,-510.57,833.24,35.18,47.50913043478262,142.5043384000847,498.34,-168.37,666.71,25.62,1.0882608695652178,0.5684560602985235,3.46,0.44,3.02,0.96,3.46,1.0882608695652178,0.5684560602985235,3.02,0.44,0.4090909090909091,510.57,131.8504347826087,2.0,0.8460869565217392,-0.04,-0.65,-0.61,0.75,0.54,-0.20999999999999996,0.68,0.58,-0.10000000000000009,0.32,-5.08,-5.4,-20.43,-11.94,8.49,25.62,38.0,12.379999999999999,fall_007.csv,1,fall
25,2.440000057220459,-0.28040000000000004,0.4252301337707226,1.27,-0.92,2.19,-0.34,0.4456,0.7952100351479475,1.19,-2.0,3.19,0.75,0.3784,0.6091912671731268,2.0,-0.44,2.44,0.28,3.817199999999996,156.2425610901204,265.36,-501.91,767.27,26.38,28.150799999999993,176.95097447033174,259.51,-510.57,770.0799999999999,37.86,35.1468,164.85548299242785,464.55,-262.78,727.3299999999999,21.69,1.1196,0.5645904120097448,3.1,0.39,2.71,1.02,3.1,1.1196,0.5645904120097448,2.71,0.39,0.4583333333333333,510.57,155.14520000000002,2.0,0.8808,-0.05,-0.38,-0.33,0.72,0.84,0.12,0.57,-0.43,-1.0,15.54,30.58,15.04,-9.82,14.66,24.48,11.51,-5.33,-16.84,fall_009.csv,1,fall
23,2.2699999809265137,-0.3647826086956521,0.38231198070801464,0.21,-1.43,1.64,-0.35,0.33478260869565213,0.527195578382077,2.0,-0.79,2.79,0.18,0.7039130434782608,0.46652232851595915,1.87,-0.2,2.0700000000000003,0.71,-27.18521739130435,155.34452768164192,287.33,-501.91,789.24,-13.8,21.433478260869574,168.33792411825294,489.97,-172.75,662.72,-28.31,-16.11826086956522,122.04398881521716,201.86,-372.69,574.55,-5.91,1.0382608695652173,0.5356020586381193,3.09,0.23,2.86,0.95,3.09,1.0382608695652173,0.5356020586381193,2.86,0.23,0.4090909090909091,501.91,137.01260869565218,2.0,0.8291304347826088,-0.05,-0.34,-0.29000000000000004,0.61,0.1,-0.51,0.71,0.86,0.15000000000000002,-27.56,-9.59,17.97,-3.53,-28.82,-25.29,-6.25,7.63,13.879999999999999,fall_012.csv,1,fall
21,2.0199999809265137,-0.3928571428571428,0.7148925993262405,0.78,-1.93,2.71,0.03,0.6195238095238095,0.5051185622255056,2.0,-0.25,2.25,0.68,0.24666666666666665,0.6089937054956589,2.0,-0.51,2.51,0.06,-15.55238095238095,117.13006795459319,218.35,-400.21,618.56,-17.66,57.25761904761904,105.07980975928542,288.34,-118.99,407.33,25.59,-9.709523809523809,155.89179745824313,140.59,-426.44,567.03,13.75,1.17,0.5731579189019376,3.43,0.48,2.95,1.01,3.43,1.17,0.5731579189019376,2.95,0.48,0.5,426.44,145.72190476190477,2.0,1.0047619047619047,0.1,-1.0,-1.1,1.0,0.32,-0.6799999999999999,-0.03,0.11,0.14,-17.66,5.73,23.39,-12.64,25.59,38.230000000000004,6.0,56.93,50.93,fall_013.csv,1,fall
25,2.4699997901916504,-0.12760000000000002,0.3915916240166534,0.68,-0.98,1.6600000000000001,0.0,0.4536,0.648150445498574,1.02,-2.0,3.02,0.48,0.4336,0.6135068595106876,2.0,-0.71,2.71,0.18,-46.67360000000001,114.63960175553066,103.21,-501.91,605.12,-19.05,7.1279999999999974,173.141675779307,489.97,-510.57,1000.54,-5.86,-2.7720000000000016,118.96902713171468,293.1,-310.31,603.4100000000001,-5.3,1.0304,0.5205324197396354,2.91,0.0,2.91,0.99,2.91,1.0304,0.5205324197396354,2.91,0.0,0.5416666666666666,510.57,127.464,2.0,0.8896,0.1,-0.25,-0.35,0.98,0.2,-0.78,0.18,0.82,0.6399999999999999,-17.48,-3.24,14.24,-7.85,-72.95,-65.10000000000001,8.7,61.22,52.519999999999996,fall_014.csv,1,fall
25,2.419999837875366,-0.28359999999999996,0.4789300575240606,0.66,-1.15,1.81,-0.06,0.4391999999999999,0.6905608831474118,1.01,-2.0,3.01,0.35,0.3632,0.5992684429090746,2.0,-0.39,2.39,0.25,-43.6632,106.25536467711485,103.47,-501.91,605.38,-35.28,9.206000000000001,178.083082904207,314.84,-510.57,825.41,-17.41,-40.249199999999995,109.16907899064948,141.3,-320.08,461.38,-10.41,1.1072,0.45885291761086144,2.9,0.43,2.4699999999999998,1.0,2.9,1.1072,0.45885291761086144,2.4699999999999998,0.43,0.5833333333333334,510.57,145.6336,2.0,0.9536,0.1,-0.63,-0.73,1.01,0.2,-0.81,-0.08,0.74,0.82,0.67,-22.52,-23.19,-17.25,-75.33,-58.08,4.64,-36.9,-41.54,fall_015.csv,1,fall
