time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
0,0,0,0,0,0,0,0
1780906880.200179,0.2959,-0.916,-0.2405,-2.2443,5.1603,2.626,0.9922
1780906880.3990684,0.2769,-0.9363,-0.3157,-14.6489,0.2137,2.6489,1.0261
1780906880.5992732,0.2925,-0.9148,-0.2517,0.0916,-5.8092,0.6718,0.9929
1780906880.7993085,0.2747,-0.9319,-0.2795,-1.2595,-0.084,0.4122,1.0109
1780906880.9992259,0.2778,-0.9285,-0.2793,-1.7252,-0.6565,-0.8244,1.0086
1780906881.1994543,0.2783,-0.9246,-0.272,-1.2061,-0.7252,1.1603,1.0031
1780906881.4019518,0.2744,-0.9231,-0.2463,1.5038,-2.6794,-0.2214,0.994
1780906881.6037192,0.2793,-0.925,-0.2727,-1.8779,-1.2061,-0.0687,1.004
1780906881.7994547,0.2791,-0.9238,-0.2808,-2.9847,0.0763,-0.6489,1.0051
1780906881.999306,0.2827,-0.917,-0.2561,1.5191,-1.4885,0.7099,0.9932
1780906882.1994398,0.2791,-0.9314,-0.2817,-1.8702,-1.1985,-0.4733,1.0123
1780906882.39912,0.2954,-0.9192,-0.2568,-3.1069,-1.626,0.0153,0.9991
1780906882.6035612,0.2781,-0.9229,-0.2615,-0.5496,-1.229,-1.2214,0.9987
1780906882.7988367,0.2832,-0.9265,-0.2688,-2.8702,-1.145,0.771,1.0054
1780906882.9993792,0.2883,-0.9221,-0.2737,-1.9542,-1.4962,-0.5038,1.0042
1780906883.1988034,0.2727,-0.9336,-0.271,3.145,-1.3282,5.9313,1.0097
1780906883.398745,0.2187,-0.9509,-0.2832,-0.0611,-2.626,9.7099,1.016
1780906883.598642,0.2876,-0.9175,-0.2419,0.6565,-4.6183,-5.9313,0.9915
1780906883.79975,0.2581,-0.9319,-0.2458,0.2977,-1.3893,2.1374,0.9977
1780906883.9997747,0.2588,-0.9382,-0.2319,-3.1832,-3.7634,-2.4733,1.0005
1780906884.1993747,0.2385,-0.9417,-0.2307,1.0382,2.5573,5.0534,0.9984
