time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780827342.98,0.13,-0.96,-0.16,11.50,2.82,8.60,0.98
1780827343.19,0.12,-0.79,-0.25,8.76,-13.00,9.71,0.84
1780827343.39,0.06,-0.30,-0.19,15.95,-45.53,18.91,0.36
1780827343.58,0.47,-1.46,-0.56,-77.22,-7.60,39.05,1.64
1780827343.78,0.15,-0.94,-0.21,180.72,-6.98,79.40,0.98
1780827343.99,-0.45,0.01,0.93,250.13,17.31,220.57,1.03
1780827344.18,-2.00,2.00,2.00,142.80,167.79,50.34,3.46
1780827344.38,-0.59,0.30,0.53,114.40,89.40,119.31,0.84
1780827344.58,-1.01,-0.43,0.23,-42.15,-60.65,-70.64,1.12
1780827344.78,-0.83,-0.24,0.65,-15.03,-25.00,2.48,1.08
1780827344.98,-0.64,-0.14,0.59,-7.99,37.02,32.31,0.88
1780827345.18,-0.81,-0.16,0.48,0.44,-16.80,-2.51,0.96
1780827345.38,-0.80,-0.17,0.53,-0.94,-0.75,1.89,0.97
1780827345.58,-0.75,-0.20,0.55,0.30,-2.59,-2.44,0.95
1780827345.78,-0.80,-0.17,0.51,-1.29,-0.63,0.34,0.96
1780827345.98,-0.76,-0.19,0.53,-0.08,-2.94,-4.18,0.95
