time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
file,rows,start_time,end_time,duration_seconds,max_total_a,max_abs_gyro,source_peak_row
fall_001.csv,25.00,1773564486.18,1773564488.67,2.49,2.13,510.57,305.00
fall_002.csv,25.00,1773564522.63,1773564525.06,2.43,1.79,299.02,360.00
fall_003.csv,20.00,1773564628.57,1773564630.53,1.95,2.82,340.15,386.00
fall_004.csv,25.00,1773564646.76,1773564649.25,2.49,2.49,431.04,412.00
fall_005.csv,18.00,1773564666.88,1773564668.63,1.75,2.92,461.80,435.00
fall_006.csv,24.00,1773564711.76,1773564714.10,2.34,3.15,510.57,453.00
fall_007.csv,23.00,1773564763.46,1773564765.62,2.16,3.46,510.57,476.00
fall_008.csv,23.00,1773564771.60,1773564773.88,2.28,2.59,502.20,503.00
fall_009.csv,25.00,1773564782.52,1773564784.96,2.45,3.10,510.57,524.00
fall_010.csv,23.00,1773564790.91,1773564793.07,2.16,2.57,502.20,553.00
fall_011.csv,22.00,1773564811.86,1773564814.04,2.18,2.06,510.57,575.00
fall_012.csv,23.00,1773564822.24,1773564824.51,2.27,3.09,501.91,594.00
fall_013.csv,21.00,1773564833.31,1773564835.33,2.02,3.43,426.44,618.00
fall_014.csv,25.00,1773564844.89,1773564847.36,2.47,2.91,510.57,642.00
fall_015.csv,25.00,1773564854.90,1773564857.32,2.42,2.90,510.57,672.00
fall_016.csv,18.00,1773564869.28,1773564871.03,1.75,2.84,510.57,692.00
fall_017.csv,20.00,1773564877.01,1773564878.97,1.96,1.67,337.40,716.00
fall_018.csv,22.00,1773564885.11,1773564887.27,2.16,2.60,498.63,735.00
fall_019.csv,18.00,1773564892.07,1773564893.84,1.77,2.78,502.20,756.00
fall_020.csv,25.00,1773564904.16,1773564906.55,2.39,2.41,417.25,774.00
fall_021.csv,25.00,1773564911.54,1773564913.93,2.39,2.84,446.17,801.00
fall_022.csv,25.00,1773564975.94,1773564978.40,2.45,3.46,498.63,833.00
fall_023.csv,25.00,1773564987.63,1773564990.07,2.44,1.64,454.67,861.00
fall_024.csv,24.00,1773564996.63,1773564998.98,2.35,1.65,441.71,912.00
fall_025.csv,25.00,1773565006.79,1773565009.27,2.48,2.26,498.63,935.00
fall_026.csv,25.00,1773565018.26,1773565020.72,2.47,2.18,498.63,964.00
fall_027.csv,24.00,1773565029.29,1773565031.62,2.33,1.54,498.63,991.00
fall_028.csv,25.00,1773565044.36,1773565046.84,2.48,2.27,270.40,1016.00
fall_029.csv,25.00,1773565053.72,1773565056.21,2.49,2.53,510.57,1039.00
fall_030.csv,20.00,1773565079.70,1773565081.67,1.97,2.71,452.70,1065.00
fall_031.csv,22.00,1773565105.38,1773565107.55,2.17,2.89,498.63,1084.00
fall_032.csv,25.00,1773565112.91,1773565115.37,2.46,1.99,502.20,1108.00
fall_033.csv,25.00,1773565121.73,1773565124.21,2.48,2.19,490.82,1135.00
fall_034.csv,25.00,1773565130.25,1773565132.73,2.49,2.22,489.97,1165.00
fall_035.csv,25.00,1773565139.78,1773565142.26,2.48,2.67,510.57,1195.00
fall_036.csv,25.00,1773565148.00,1773565150.47,2.46,3.08,510.57,1228.00
fall_037.csv,23.00,1773565168.04,1773565170.32,2.28,3.46,510.57,1251.00
fall_038.csv,23.00,1773565199.40,1773565201.67,2.27,2.46,375.08,1272.00
fall_039.csv,25.00,1773565210.14,1773565212.62,2.49,2.20,502.20,1297.00
fall_040.csv,25.00,1773565219.29,1773565221.76,2.47,2.38,374.60,1323.00
fall_041.csv,22.00,1773565238.02,1773565240.18,2.16,2.68,484.98,1344.00
fall_042.csv,24.00,1773565245.17,1773565247.55,2.38,3.02,450.72,1371.00
fall_043.csv,23.00,1773565256.93,1773565259.20,2.27,2.37,510.57,1393.00
fall_044.csv,22.00,1773565276.79,1773565278.95,2.15,1.90,432.87,1415.00
