rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,accel_abs_mean,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,label,label_name
25,2.369999885559082,-0.132,0.17958284996067972,0.15,-0.56,0.7100000000000001,-0.11,-0.8652,0.1729431505823036,-0.48,-1.16,0.6799999999999999,-0.87,0.3716,0.165546569480212,0.7,0.0,0.7,0.34,-1.2707999999999993,58.98601514483468,81.65,-101.6,183.25,1.6,38.142799999999994,75.19298197083732,161.71,-163.33,325.04,48.53,-34.506,53.87534508783524,70.0,-129.39,199.39,-28.02,0.976,0.1952135582723017,1.26,0.52,0.74,0.97,1.26,0.976,0.1952135582723017,0.74,0.52,0.4583333333333333,163.33,87.368,1.16,0.8652,-0.28,0.09,0.37,-0.87,-0.87,0.0,0.32,0.18,-0.14,24.26,43.19,18.929999999999996,70.7,8.66,-62.040000000000006,-106.87,-39.97,66.9,0,normal
25,2.4800000190734863,0.0368,0.1610827944464171,0.49,-0.2,0.69,-0.03,-0.8775999999999999,0.3870215325620354,-0.08,-2.0,1.92,-0.95,-0.16799999999999998,0.4764276790167982,0.19,-1.64,1.8299999999999998,0.1,-49.4024,76.60818071415957,76.32,-237.1,313.41999999999996,-9.62,-12.0372,50.461244495156876,67.42,-179.41,246.82999999999998,-9.37,-27.1496,62.94207254028633,19.79,-278.31,298.1,-5.15,0.9919999999999999,0.4564172068038919,2.61,0.11,2.5,0.97,2.61,0.9919999999999999,0.4564172068038919,2.5,0.11,0.75,278.31,68.1572,2.0,0.9024,-0.03,0.15,0.18,-0.9,-0.65,0.25,0.14,-0.5,-0.64,-7.8,-31.25,-23.45,-6.38,30.44,36.82,6.87,-10.6,-17.47,0,normal
16,3.0,-0.423125,0.3528874938749365,0.03,-1.03,1.06,-0.575,-0.43125,0.629697017091024,0.99,-2.0,2.99,-0.255,0.215625,0.607266759066118,0.96,-0.99,1.95,0.5,14.085624999999997,66.75814706523342,240.79,-63.18,303.96999999999997,-0.605,-11.187499999999998,42.854936471776504,61.34,-130.34,191.68,0.925,19.74,70.45059394119163,250.13,-57.98,308.11,10.485,1.04,0.41758033159301616,2.46,0.66,1.7999999999999998,0.975,2.46,1.04,0.41758033159301616,1.7999999999999998,0.66,0.4,250.13,49.87625,2.0,0.8356250000000001,-0.01,-0.62,-0.61,-0.93,-0.15,0.78,-0.3,0.69,0.99,-11.57,-1.75,9.82,9.5,-1.64,-11.14,-2.47,0.64,3.1100000000000003,1,fall
22,4.18999981880188,-0.24409090909090905,0.21575248364534344,-0.01,-0.72,0.71,-0.20500000000000002,-0.4372727272727273,0.5343548118385993,0.65,-1.05,1.7000000000000002,-0.45499999999999996,0.4800000000000001,0.5307676381565531,1.34,-0.19,1.53,0.715,13.047727272727276,59.704329900556274,143.98,-74.27,218.25,11.765,0.6099999999999994,27.79665087739888,66.4,-76.03,142.43,1.755,12.847272727272724,33.699074762177666,130.44,-22.46,152.9,4.77,1.0163636363636361,0.19000113920825024,1.41,0.44,0.97,0.985,1.41,1.0163636363636361,0.19000113920825024,0.97,0.44,0.42857142857142855,143.98,46.430454545454545,1.34,0.9218181818181819,-0.03,-0.3,-0.27,-0.98,-0.55,0.42999999999999994,-0.17,0.71,0.88,14.86,-74.27,-89.13,-13.19,8.63,21.82,1.42,-7.05,-8.469999999999999,1,fall
20,3.7899999618530273,-0.11599999999999999,0.14020286054593595,0.17,-0.39,0.56,-0.11,-0.9695,0.1484472261356487,-0.75,-1.25,0.5,-0.95,-0.4805,0.2462022061554069,-0.15,-0.96,0.8099999999999999,-0.395,1.8605,26.310221642828036,44.79,-43.2,87.99000000000001,9.065,-37.816500000000005,73.40028927771765,68.37,-207.85,276.22,-15.78,-14.282,21.57262802720151,17.23,-67.17,84.4,-11.295,1.1190000000000002,0.175376287180631,1.51,0.83,0.68,1.0950000000000002,1.51,1.1190000000000002,0.175376287180631,0.68,0.83,0.05263157894736842,207.85,61.870500000000014,1.25,0.9695,-0.12,-0.11,0.009999999999999995,-1.04,-0.79,0.25,-0.15,-0.79,-0.64,14.43,26.21,11.780000000000001,5.48,68.37,62.89,-0.54,9.57,10.11,0,normal
21,4.009999990463257,0.11761904761904762,0.22110867829881217,0.6,-0.36,0.96,0.11,-0.7685714285714286,0.880944298547222,0.43,-2.0,2.43,-0.78,-0.3419047619047619,0.3267050511947902,0.18,-0.9,1.08,-0.36,-4.084285714285714,38.35833371921003,100.49,-59.7,160.19,-0.76,9.940000000000001,20.4399960861053,52.48,-30.89,83.37,9.82,7.56047619047619,29.79440509159236,70.22,-32.48,102.69999999999999,4.24,1.0476190476190477,0.7345332175055446,2.2,0.13,2.0700000000000003,0.78,2.2,1.0476190476190477,0.7345332175055446,2.0700000000000003,0.13,0.1,100.49,38.58,2.0,0.9414285714285714,0.22,0.2,-0.01999999999999999,-1.53,-0.78,0.75,-0.87,-0.52,0.35,10.29,19.5,9.21,-30.89,7.5,38.39,-8.69,1.3,9.99,0,normal
25,4.800000190734863,-0.0392,0.10789346597454363,0.14,-0.23,0.37,-0.04,-0.9079999999999999,0.2171788817234923,-0.63,-1.73,1.1,-0.86,0.31439999999999996,0.08612394169644892,0.48,0.14,0.33999999999999997,0.33,3.9,34.65161840857268,101.83,-73.06,174.89,1.6,-28.2608,55.44281971244489,94.83,-140.06,234.89,-25.42,13.608000000000002,24.26558485454932,75.03,-32.71,107.74000000000001,14.43,0.9732,0.21149704489661314,1.78,0.67,1.1099999999999999,0.93,1.78,0.9732,0.21149704489661314,1.1099999999999999,0.67,0.08333333333333333,140.06,52.3296,1.73,0.9079999999999999,-0.0,0.03,0.03,-0.63,-0.87,-0.24,0.23,0.33,0.1,9.95,7.63,-2.3199999999999994,-20.79,1.63,22.419999999999998,0.57,9.6,9.03,0,normal
15,1.4399998188018799,-0.13799999999999998,0.17138928121176572,0.13,-0.48,0.61,-0.07,-0.7973333333333333,0.12273471197590974,-0.5,-0.98,0.48,-0.82,0.5593333333333333,0.1564547705827318,0.86,0.33,0.53,0.55,-4.924666666666667,53.95250806650852,86.55,-88.98,175.53,-2.69,24.981333333333335,47.0988502842186,113.89,-46.0,159.89,22.98,-33.532,48.282365044451936,22.5,-141.76,164.26,-16.87,1.006,0.15481786534044262,1.27,0.72,0.55,1.05,1.27,1.006,0.15481786534044262,0.55,0.72,1.0,141.76,73.02666666666667,0.98,0.8053333333333335,-0.12,-0.44,-0.32,-0.93,-0.98,-0.04999999999999993,0.54,0.67,0.13,-13.56,-44.63,-31.07,40.38,22.98,-17.400000000000002,-48.21,-21.24,26.970000000000002,0,normal
18,3.4000000953674316,-0.10500000000000002,0.1561767475349267,0.14,-0.45,0.5900000000000001,-0.09,-0.9227777777777777,0.4427295756149379,-0.41,-1.83,1.4200000000000002,-0.8999999999999999,-0.4766666666666667,0.1354295996840729,-0.32,-0.79,0.47000000000000003,-0.445,-1.123888888888889,25.602919672405214,74.13,-49.43,123.56,-3.6799999999999997,-39.062222222222225,47.817680037649325,53.03,-108.76,161.79000000000002,-43.04,-13.002222222222223,19.340853000093915,17.02,-53.23,70.25,-11.46,1.0672222222222223,0.43657497914825655,1.93,0.54,1.39,1.0350000000000001,1.93,1.0672222222222223,0.43657497914825655,1.39,0.54,0.0,108.76,51.763333333333335,1.83,0.9266666666666666,-0.39,-0.07,0.32,-1.83,-0.97,0.8600000000000001,-0.46,-0.56,-0.10000000000000003,-24.31,-20.63,3.6799999999999997,-108.76,-99.47,9.290000000000006,8.14,-53.23,-61.37,0,normal
25,4.789999961853027,0.12719999999999998,0.17619875141441838,0.52,-0.55,1.07,0.14,-0.932,0.2061754915923164,-0.61,-1.56,0.9500000000000001,-0.93,-0.14880000000000002,0.36951905679319613,1.14,-0.72,1.8599999999999999,-0.13,1.1600000000000006,41.528801953182644,115.8,-77.67,193.47,-3.17,6.8252,34.076076177674366,87.46,-101.07,188.52999999999997,7.92,3.1652000000000013,34.597511124356906,124.32,-88.92,213.24,-0.37,1.0231999999999999,0.2562505284547396,2.01,0.64,1.3699999999999997,0.99,2.01,1.0231999999999999,0.2562505284547396,1.3699999999999997,0.64,0.4166666666666667,124.32,41.251599999999996,1.56,0.932,0.22,0.05,-0.16999999999999998,-0.78,-0.88,-0.09999999999999998,-0.3,-0.2,0.09999999999999998,-3.17,-77.67,-74.5,16.99,-17.18,-34.17,-7.4,-0.37,7.03,0,normal
