rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,label,label_name
25,2.4850704669952393,0.2708,0.111949393328712,0.42,0.02,0.39999999999999997,0.31,-0.8648,0.30240866389705173,-0.26,-1.6,1.34,-0.79,0.3488,0.1608135566424672,0.63,0.08,0.55,0.37,0.7939999999999998,89.30742498993762,150.7,-193.92,344.62,32.7,-50.42,126.87937076215346,186.92,-272.63,459.54999999999995,-64.72,12.229999999999997,102.13098840051762,223.66,-231.94,455.6,20.37,0.9884000000000001,0.306725718952074,1.67,0.31,1.3599999999999999,0.93,1.67,0.9884000000000001,0.306725718952074,1.3599999999999999,0.31,0.7083333333333334,272.63,154.174,1.6,0.31,0.24,-0.07,-0.85,-0.73,0.12,0.33,0.4,0.07,128.75,-193.92,-322.66999999999996,-272.63,70.4,343.03,56.98,-8.58,-65.56,0,normal
24,2.3747007846832275,-0.27458333333333335,0.27814571043229136,0.25,-0.83,1.08,-0.365,-0.8804166666666666,0.1233404326198047,-0.73,-1.25,0.52,-0.86,0.105,0.12600897138523598,0.47,-0.1,0.57,0.08,-1.6875000000000024,88.4970258036221,320.9,-179.95,500.84999999999997,-7.545,-25.263333333333335,48.26189870556967,37.25,-224.86,262.11,-17.130000000000003,11.58083333333333,103.48138487992256,322.53,-239.39,561.92,-12.61,0.9704166666666666,0.16198441059361954,1.42,0.74,0.6799999999999999,0.925,1.42,0.9704166666666666,0.16198441059361954,0.6799999999999999,0.74,0.5217391304347826,322.53,80.95041666666667,1.25,-0.14,-0.38,-0.24,-0.84,-0.91,-0.07000000000000006,0.25,0.14,-0.10999999999999999,-2.6,5.68,8.28,-1.05,-45.02,-43.970000000000006,-29.88,-52.0,-22.12,0,normal
25,2.475275754928589,0.09160000000000001,0.1429067294893188,0.44,-0.18,0.62,0.04,-0.97,0.1456594201096059,-0.77,-1.45,0.6799999999999999,-0.96,0.0264,0.13567362799502833,0.42,-0.29,0.71,0.03,-10.1456,62.116099636084684,149.73,-194.41,344.14,-0.26,-22.8164,38.977593550654206,81.57,-136.0,217.57,-18.52,-4.881199999999999,27.911075209194887,27.59,-118.67,146.26,-2.05,0.9932,0.15868522300453813,1.51,0.78,0.73,0.98,1.51,0.9932,0.15868522300453813,0.73,0.78,0.5833333333333334,194.41,47.9176,1.45,0.1,0.18,0.07999999999999999,-0.96,-0.96,0.0,0.03,-0.04,-0.07,2.35,4.96,2.61,-16.6,-14.57,2.030000000000001,-3.02,15.21,18.23,0,normal
25,2.418802499771118,-0.28359999999999996,0.4789300575240606,0.66,-1.15,1.81,-0.06,0.4391999999999999,0.6905608831474118,1.01,-2.0,3.01,0.35,0.3632,0.5992684429090746,2.0,-0.39,2.39,0.25,-43.6632,106.25536467711485,103.47,-501.91,605.38,-35.28,9.206000000000001,178.083082904207,314.84,-510.57,825.41,-17.41,-40.249199999999995,109.16907899064948,141.3,-320.08,461.38,-10.41,1.1072,0.45885291761086144,2.9,0.43,2.4699999999999998,1.0,2.9,1.1072,0.45885291761086144,2.4699999999999998,0.43,0.5833333333333334,510.57,145.6336,2.0,0.1,-0.63,-0.73,1.01,0.2,-0.81,-0.08,0.74,0.82,0.67,-22.52,-23.19,-17.25,-75.33,-58.08,4.64,-36.9,-41.54,1,fall
20,1.9663891792297363,-0.126,0.09287229488870583,-0.01,-0.36,0.35,-0.11,-0.9175000000000001,0.14260268691644445,-0.64,-1.12,0.4800000000000001,-0.95,0.277,0.09364546803882463,0.43,0.1,0.32999999999999996,0.29500000000000004,-11.8965,47.73502060718547,65.08,-82.27,147.35,-32.355,-50.907999999999994,81.6569459835991,119.68,-243.01,362.69,-58.224999999999994,9.664,37.95988525300166,88.09,-64.15,152.24,24.33,0.9760000000000002,0.1399774417916198,1.15,0.68,0.46999999999999986,0.995,1.15,0.9760000000000002,0.1399774417916198,0.46999999999999986,0.68,0.42105263157894735,243.01,87.36699999999999,1.12,-0.12,-0.21,-0.09,-1.01,-1.05,-0.040000000000000036,0.23,0.31,0.07999999999999999,-31.02,-82.27,-51.25,-50.79,-92.31,-41.52,24.49,-21.8,-46.29,0,normal
18,1.7568328380584717,-0.9794444444444443,0.02817429412910291,-0.89,-1.02,0.13,-0.985,-0.08333333333333334,0.0715377317142746,-0.03,-0.34,0.31000000000000005,-0.06,-0.19,0.049705012174770836,-0.08,-0.24,0.15999999999999998,-0.21,-0.26888888888888873,31.998294603249406,123.48,-35.16,158.64,-5.16,-7.95111111111111,12.927753951178921,22.03,-28.31,50.34,-12.035,4.138888888888888,15.392603223201984,40.58,-14.47,55.05,-0.20499999999999996,1.0055555555555555,0.020065253028182028,1.04,0.96,0.08000000000000007,1.01,1.04,1.0055555555555555,0.020065253028182028,0.08000000000000007,0.96,0.23529411764705882,123.48,22.138888888888893,1.02,-0.89,-0.94,-0.04999999999999993,-0.34,-0.06,0.28,-0.09,-0.19,-0.1,123.48,-7.01,-130.49,-28.31,-13.91,14.399999999999999,14.32,-4.98,-19.3,0,normal
25,2.4508445262908936,-0.48200000000000004,0.6041109169680681,0.16,-2.0,2.16,-0.22,-0.7971999999999998,0.35331194903842883,-0.31,-2.0,1.69,-0.89,0.11280000000000001,0.4263656490228389,2.0,-0.45,2.45,0.04,17.5784,116.67191263253265,498.63,-157.15,655.78,-3.4,14.4276,99.89914031495299,238.79,-325.83,564.62,3.45,25.6928,91.02209322100505,206.75,-157.54,364.28999999999996,39.94,1.0972000000000002,0.5784715492859899,3.46,0.38,3.08,0.96,3.46,1.0972000000000002,0.5784715492859899,3.08,0.38,0.625,498.63,112.70919999999998,2.0,0.08,-0.63,-0.71,-0.95,-0.66,0.2899999999999999,0.04,0.16,0.12,22.21,-34.11,-56.32,-3.95,-16.38,-12.43,-20.72,-64.99,-44.269999999999996,1,fall
25,2.4872820377349854,0.23120000000000002,0.09225508116087698,0.35,0.07,0.27999999999999997,0.27,-0.056399999999999985,0.1577677618104113,0.39,-0.31,0.7,-0.08,0.9032000000000001,0.1646136891836966,1.28,0.71,0.5700000000000001,0.85,0.4631999999999994,51.53479016806673,84.79,-122.12,206.91000000000003,-2.52,-12.201199999999998,27.027610469049364,43.77,-76.5,120.27000000000001,-8.31,32.9868,75.58669325791854,188.44,-108.58,297.02,25.1,0.9508000000000001,0.16948254580732888,1.34,0.79,0.55,0.9,1.34,0.9508000000000001,0.16948254580732888,0.55,0.79,0.5833333333333334,188.44,76.10560000000001,1.28,0.3,0.32,0.020000000000000018,0.07,-0.15,-0.22,1.05,0.85,-0.20000000000000007,30.32,20.43,-9.89,-21.34,18.29,39.629999999999995,188.44,-27.99,-216.43,0,normal
25,2.4701554775238037,0.27240000000000003,0.1429533723515002,0.63,0.02,0.61,0.26,-0.9188,0.3337079561532808,-0.43,-1.71,1.28,-0.88,0.2484,0.14831498013799324,0.63,-0.15,0.78,0.23,15.796799999999998,89.26029691861886,174.31,-146.86,321.17,6.06,-70.63759999999999,110.43646628567336,209.22,-212.02,421.24,-90.92,29.887200000000004,110.20787757385283,279.37,-204.72,484.09000000000003,37.79,1.0064,0.34842359277178686,1.76,0.54,1.22,0.96,1.76,1.0064,0.34842359277178686,1.22,0.54,0.625,279.37,144.924,1.71,0.26,0.22,-0.04000000000000001,-1.01,-0.8,0.20999999999999996,0.24,0.05,-0.19,159.98,2.9,-157.07999999999998,-90.92,-35.77,55.15,-55.97,39.22,95.19,0,normal
25,2.4878480434417725,0.061200000000000004,0.15969554366564734,0.46,-0.21,0.67,0.01,-0.9688,0.1507846145997661,-0.85,-1.66,0.8099999999999999,-0.96,0.031599999999999996,0.13230898180647702,0.21,-0.34,0.55,0.04,-5.888,36.96075576427878,99.95,-112.9,212.85000000000002,-2.44,-13.966000000000001,36.31640113869582,99.92,-73.37,173.29000000000002,-7.88,-13.357599999999998,33.23492418626326,26.55,-118.57,145.12,-5.77,0.99,0.16327379867367983,1.74,0.87,0.87,0.97,1.74,0.99,0.16327379867367983,0.87,0.87,0.7916666666666666,118.57,36.4788,1.66,0.02,0.28,0.26,-0.98,-0.89,0.08999999999999997,0.04,0.13,0.09,1.74,-10.38,-12.120000000000001,-21.18,-13.65,7.529999999999999,2.99,26.55,23.560000000000002,0,normal
