time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A,Activity
1773658459.4528782,-0.21,0.15,0.9,0.11,-0.22,-0.26,0.94,Lying
1773658459.5572147,-0.21,0.15,0.91,-0.24,0.02,-0.26,0.94,Lying
1773658459.6617072,-0.2,0.15,0.91,0.31,-0.05,0.02,0.94,Lying
1773658459.7652998,-0.21,0.15,0.91,0.09,0.19,0.11,0.95,Lying
1773658459.8693695,-0.21,0.15,0.9,0.0,-0.05,0.05,0.94,Lying
1773658459.9728708,-0.2,0.14,0.91,0.05,0.1,0.15,0.94,Lying
1773658460.0767336,-0.21,0.15,0.91,-0.12,-0.22,-0.05,0.95,Lying
1773658460.1792154,-0.2,0.15,0.91,0.05,0.15,-0.11,0.94,Lying
1773658460.282926,-0.2,0.15,0.91,-0.03,-0.01,-0.3,0.94,Lying
1773658460.3855643,-0.21,0.14,0.91,0.05,-0.01,-0.17,0.94,Lying
1773658460.4907365,-0.21,0.14,0.9,0.06,-0.23,0.03,0.94,Lying
1773658460.591479,-0.21,0.14,0.91,0.0,-0.13,-0.15,0.94,Lying
1773658460.6986375,-0.2,0.15,0.91,-0.01,0.04,-0.08,0.94,Lying
1773658460.801457,-0.21,0.15,0.91,0.14,0.1,0.0,0.94,Lying
1773658460.9065106,-0.2,0.14,0.9,-0.01,0.21,-0.05,0.94,Lying
1773658461.009639,-0.2,0.15,0.91,-0.09,-0.08,0.09,0.94,Lying
1773658461.1125097,-0.2,0.14,0.9,-0.11,0.07,0.23,0.93,Lying
1773658461.2184,-0.2,0.15,0.91,0.12,-0.22,-0.01,0.94,Lying
1773658461.3209214,-0.21,0.15,0.9,0.09,-0.19,0.12,0.94,Lying
1773658461.425576,-0.21,0.15,0.91,0.18,0.01,0.02,0.94,Lying
1773658461.52844,-0.21,0.15,0.91,-0.2,0.16,-0.11,0.94,Lying
1773658461.630694,-0.21,0.15,0.91,-0.2,-0.11,-0.11,0.95,Lying
1773658461.7338479,-0.2,0.14,0.91,0.06,0.15,-0.01,0.94,Lying
1773658461.839126,-0.21,0.15,0.91,0.06,-0.13,0.11,0.94,Lying
1773658461.9423392,-0.2,0.15,0.9,8.37,30.25,-1.39,0.93,Lying
1773658462.0468307,-0.24,0.17,0.93,4.95,34.96,-1.65,0.98,Lying
1773658462.1491418,-0.36,0.1,0.86,1.5,79.55,-36.58,0.94,Lying
1773658462.2527573,-0.51,0.12,0.89,3.27,55.69,1.71,1.04,Lying
1773658462.35841,-0.66,0.34,0.8,59.28,84.44,46.54,1.09,Lying
1773658462.4615586,-0.69,0.39,0.6,51.16,140.22,26.18,1.0,Moving/Walking
1773658462.5665264,-0.57,0.35,0.43,8.54,106.41,50.15,0.8,Moving/Walking
1773658462.6672084,-0.79,0.54,0.23,34.98,79.52,24.18,0.98,Lying
1773658462.7709825,-0.95,0.47,0.05,37.39,106.12,-20.29,1.06,Lying
1773658462.876935,-0.79,0.42,-0.04,10.81,65.11,-20.79,0.9,Lying
1773658462.979954,-0.83,0.44,-0.19,61.25,85.64,-25.76,0.96,Lying
1773658463.0813425,-0.93,0.43,-0.36,17.5,19.98,-23.14,1.08,Lying
1773658463.1851492,-0.84,0.33,-0.42,18.7,17.29,-27.95,1.0,Lying
1773658463.2903156,-0.89,0.3,-0.41,-4.99,-1.69,-26.95,1.02,Lying
1773658463.394168,-0.89,0.24,-0.42,23.16,15.93,-8.24,1.02,Lying
1773658463.4972095,-0.91,0.23,-0.43,21.3,33.75,-23.16,1.03,Lying
1773658463.6020935,-0.87,0.21,-0.52,32.4,37.41,-17.72,1.03,Lying
1773658463.7038116,-0.87,0.14,-0.56,25.71,23.6,-8.67,1.04,Lying
1773658463.8084853,-0.79,0.13,-0.63,35.63,14.89,-0.55,1.02,Lying
1773658463.9135392,-0.81,0.13,-0.55,-63.97,-105.41,-26.75,0.99,Lying
1773658464.0154426,-0.93,0.16,-0.31,-76.47,-202.31,30.15,1.0,Lying
1773658464.1192183,-1.01,0.2,-0.02,-12.06,-121.47,8.63,1.03,Lying
1773658464.2233655,-1.16,0.04,0.24,-60.95,-107.58,-10.55,1.18,Lying
1773658464.328676,-0.95,0.01,0.35,-20.58,-94.48,8.06,1.01,Lying
1773658464.433802,-0.82,0.07,0.6,-52.52,-57.75,-22.29,1.02,Lying
1773658464.5364099,-0.67,0.05,0.68,-31.36,-51.78,-1.07,0.95,Moving/Walking
1773658464.6424725,-0.52,0.18,0.72,2.09,-80.91,29.73,0.91,Lying
1773658464.745224,-0.5,0.1,0.77,-28.12,-70.97,0.47,0.93,Lying
1773658464.8434682,-0.36,0.07,0.85,-28.5,-58.78,12.08,0.92,Lying
1773658464.9506876,-0.28,0.04,0.85,-6.43,-48.81,8.6,0.89,Lying
1773658465.0555186,-0.22,0.02,0.88,0.81,-29.44,8.98,0.91,Lying
1773658465.1569707,-0.17,0.04,0.99,24.78,-13.93,8.66,1.01,Lying
1773658465.2620234,-0.2,0.07,0.88,1.59,4.39,0.06,0.91,Lying
1773658465.367888,-0.22,0.1,0.91,0.54,8.97,-0.27,0.94,Lying
1773658465.4702308,-0.2,0.1,0.89,-2.37,-9.91,-0.41,0.92,Lying
1773658465.5736444,-0.23,0.1,0.89,0.18,-3.62,-0.03,0.93,Lying
1773658465.6772656,-0.23,0.1,0.9,0.22,-0.46,0.09,0.94,Lying
1773658465.7793293,-0.23,0.11,0.91,0.47,-0.39,0.06,0.94,Lying
1773658465.8823159,-0.23,0.11,0.9,-0.09,0.19,0.09,0.94,Lying
1773658465.9846838,-0.23,0.11,0.91,0.14,-0.02,0.2,0.94,Lying
1773658466.0893085,-0.23,0.1,0.91,0.08,-0.34,-0.14,0.94,Lying
1773658466.1914132,-0.23,0.11,0.91,0.12,0.07,0.24,0.94,Lying
1773658466.2955432,-0.22,0.1,0.91,0.02,0.15,-0.09,0.94,Lying
1773658466.4039986,-0.23,0.11,0.9,0.15,-0.08,-0.2,0.94,Lying
1773658466.5010877,-0.23,0.11,0.9,-0.03,-0.25,0.17,0.94,Lying
1773658466.604904,-0.23,0.11,0.91,0.11,0.38,-0.11,0.94,Lying
1773658466.7073221,-0.23,0.11,0.91,0.0,0.36,0.2,0.94,Lying
1773658466.813842,-0.22,0.11,0.91,-0.01,-0.13,0.17,0.94,Lying
1773658466.9152594,-0.23,0.11,0.91,-0.11,-0.19,-0.11,0.94,Lying
1773658467.0201783,-0.23,0.11,0.92,-0.15,-1.29,0.34,0.96,Lying
1773658467.1223674,-0.22,0.11,0.91,-0.11,-1.44,0.15,0.94,Lying
1773658467.2271142,-0.22,0.11,0.9,-0.14,-0.28,-0.27,0.94,Lying
1773658467.3302877,-0.23,0.11,0.9,-0.07,0.01,0.26,0.94,Lying
1773658467.4343483,-0.23,0.11,0.91,0.15,-0.11,-0.15,0.94,Lying
1773658467.5362349,-0.23,0.11,0.91,0.2,0.15,-0.2,0.94,Lying
1773658467.6420658,-0.22,0.1,0.91,-0.09,-0.04,0.08,0.94,Lying
1773658467.7442713,-0.22,0.11,0.9,-0.07,-0.04,-0.11,0.94,Lying
1773658467.8482642,-0.22,0.11,0.91,0.12,-0.07,0.12,0.94,Lying
1773658467.9500089,-0.22,0.11,0.91,0.09,-0.04,0.21,0.94,Lying
1773658468.0549853,-0.22,0.11,0.91,0.0,-0.83,0.11,0.94,Lying
